planta,trat,doy,tallo_1,tallo_2,tallo_3,tallo_4,tallo_5,flores,hv,hm,tallo,h_t,pa,c,pac,r,ra,rsum
Trébol frutilla,c,237,69,69,67.5,64.75,63.25,0,2.43315,1.23185,6.48185,0.565424994,10.14685,0.8932,11.04005,1.179,0.2283,1.4073
Trébol frutilla,c,237,84.5,81.25,77.75,76,73.75,0,2.17095,0.37375,4.66,0.546072961,7.2047,0.57515,7.77985,0.78105,0.0739,0.85495
Trébol frutilla,c,237,105.75,103,102.5,101.5,98.75,0.1636,2.53275,1.1718,7.71635,0.480090976,11.5845,0.94705,12.53155,1.23815,0.0324,1.27055
Trébol frutilla,c,237,92.25,91.5,90,88.5,84.5,0,2.9687,0.98555,7.61565,0.519226855,11.5699,1.3361,12.906,1.13625,0.0932,1.22945
Trébol frutilla,c,237,89.5,88,87.25,85.25,83,0,1.3832,0.1908,3.141,0.501114295,4.715,0.47805,5.19305,0.4196,0.03585,0.45545
Trébol frutilla,c,237,115.25,109.25,108.5,105.5,103.25,0,1.91265,0.2479,5.5562,0.388853893,7.71675,0.5423,8.25905,0.45505,0.1043,0.55935
Trébol frutilla,c,237,94.25,94.25,91,89.5,88.5,0,1.9592,0.6256,5.1269,0.50416431,7.7117,0.801,8.5127,0.91235,0.1903,1.10265
Trébol frutilla,c,237,85,82.25,81.5,78.5,77,0,2.7326,0.84085,5.54285,0.644695418,9.1163,0.95815,10.07445,0.94735,0.17095,1.1183
Trébol frutilla,c,237,87,85.5,84,82.5,81.75,0,1.80205,0.29975,4.8834,0.430396855,6.9852,0.6914,7.6766,0.75585,0.02375,0.7796
Trébol frutilla,c,237,80.5,78.75,76.25,74.75,73.75,0,3.02735,0.8697,6.73355,0.578751179,10.6306,1.14715,11.77775,1.24125,0.0967,1.33795
Trébol frutilla,c,237,87,86,83.5,81.5,80.25,0,1.70505,0.18425,4.4186,0.427578871,6.3079,0.49095,6.79885,0.63815,0.1223,0.76045
Trébol blanco,c,237,50.25,48.5,47.5,46,45.5,0.58385,3.2342,0.4449,5.42785,0.677819026,9.6908,0.77815,10.46895,0.9445,0.4851,1.4296
Trébol blanco,c,237,55,51.5,51,50.5,49.75,0.28145,3.01405,0.92945,6.09295,0.64722343,10.3179,0.9031,11.221,0.83875,0.3703,1.20905
Trébol blanco,c,237,45.5,39.5,38,33.75,32.75,,2.0242,0.4164,3.5552,0.686487399,5.9958,0.51385,6.50965,0.34775,0.3079,0.65565
Trébol blanco,c,237,93,91.5,91,87.5,82,0.3159,2.2554,0.5008,6.1954,0.444878458,9.2675,0.3984,9.6659,0.5999,0.2701,0.87
Trébol blanco,c,237,47.25,45.5,44.25,42.5,41.75,0.28395,2.46525,0.72775,5.1374,0.621520614,8.61435,1.10335,9.7177,0.7695,0.2982,1.0677
Trébol blanco,c,237,60.5,54.75,52.5,51.25,50.75,0.3068,2.9147,0.6962,7.7099,0.468345893,11.6276,1.04725,12.67485,0.8676,0.53105,1.39865
Trébol blanco,c,237,54,49.5,49.25,46.5,45,0.4473,3.6167,0.8721,6.4476,0.696197035,11.3837,0.62045,12.00415,0.7179,0.5208,1.2387
Trébol blanco,c,237,52.5,50.25,47.75,46.25,44.5,0.92175,2.57595,0.5295,6.66185,0.466154296,10.68905,0.82395,11.513,0.901,0.34125,1.24225
Trébol blanco,c,237,57.5,56,56,54,53.75,0.65435,2.65665,0.8128,6.0521,0.573263826,10.1759,0.5862,10.7621,0.8381,0.30555,1.14365
Trébol blanco,c,237,53,51.75,49,48.25,45.5,0,2.7451,0.96365,5.2787,0.702587758,8.98745,0.6086,9.59605,0.567,0.4178,0.9848
Trébol blanco,c,237,34.25,33.25,33,32.25,30.25,0,0.7052,0.1631,1.0858,0.799686867,1.9541,0.19505,2.14915,0.1149,0.09375,0.20865
Trébol blanco,c,237,63.25,62.5,60.25,59.25,57.75,0,3.1016,0.59405,6.1254,0.603332027,9.82105,0.962,10.78305,0.65375,0.43225,1.086
Trébol balansa,c,237,69,65.75,64.75,64.25,63.75,0.16215,1.8987,0.83365,5.70325,0.479086486,8.59775,0.41625,9.014,2.1376,0,2.1376
Trébol balansa,c,237,105,104,104,103,101,1.2202,1.96405,0.52325,6.96545,0.357091071,10.67295,0.2616,10.93455,1.18835,0,1.18835
Trébol balansa,c,237,73.75,72.25,71.75,71.5,71,0.1788,2.7484,0.90975,7.7983,0.469095829,11.63525,0.5757,12.21095,2.88545,0,2.88545
Trébol balansa,c,237,111,109.25,107.75,106.75,105,0.00785,2.4619,0.6165,5.9536,0.517065305,9.03985,0.3412,9.38105,2.58175,0,2.58175
Trébol balansa,c,237,63.25,63,61.25,61,59.5,0,1.7611,0.39865,4.2128,0.512663787,6.37255,0.2533,6.62585,1.01875,0,1.01875
Trébol balansa,c,237,91,89.25,87.25,84.25,82.25,0.3206,2.0211,0.5608,4.66195,0.553824044,7.56445,0.49425,8.0587,2.94645,0,2.94645
Trébol balansa,c,237,81,80.5,79,74.5,72.5,0.1135,2.10745,0.5299,5.1951,0.507661065,7.94595,0.60245,8.5484,2.9012,0,2.9012
Trébol balansa,c,237,102.75,101.5,99.75,99,98.5,0.4957,2.6104,0.7905,7.34625,0.462943679,11.24285,0.19095,11.4338,2.0325,0,2.0325
Trébol balansa,c,237,106.5,105.75,103.25,101.75,100.75,0.03105,2.03905,0.45615,4.8801,0.511300998,7.40635,0.30415,7.7105,1.3588,0,1.3588
Trébol balansa,c,237,121,120.25,120,119.5,118.5,0.4051,1.6887,0.67715,6.49255,0.364394575,9.2635,0.2622,9.5257,0.9729,0,0.9729
Trébol balansa,c,237,82.75,77.5,73,69.75,69,0.0707,2.31435,0.82525,6.22275,0.504535776,9.43305,0.5203,9.95335,2.2575,0,2.2575
